Category,Item,Status,Details,DateAdded
CSV_OUTPUT,indicators_log/*.csv,FILE,CBAS strategy writes indicator logs to LogFolder property path,2025-12-19
PARAMETER,InstanceId,STRING,Unique ID for terminal bus routing - set in strategy properties,2025-12-19
PARAMETER,LogFolder,PATH,Default: indicators_log - CSV output path for indicator logging,2025-12-19
PARAMETER,MetricsIntervalSec,NUMBER,Interval for publishing metrics to terminal bus (default 2.0),2025-12-19
TERMINAL_CMD,help,CBAS,Shows available terminal commands,2025-12-19
TERMINAL_CMD,toggle <BoolProperty>,CBAS,Toggles boolean property value,2025-12-19
TERMINAL_CMD,set <Property> <value>,CBAS,Sets property to value,2025-12-19
TERMINAL_CMD,testlong <qty>,CBAS,Submits test long A/B entries,2025-12-19
TERMINAL_CMD,testshort <qty>,CBAS,Submits test short A/B entries,2025-12-19
TERMINAL_CMD,flat/close/cancelall,CBAS,Cancels all orders and flattens position,2025-12-19
TERMINAL_CMD,reverse,CBAS,Reverses current position direction,2025-12-19
TERMINAL_CMD,trailstatus,CBAS,Shows A-trail status and remaining time,2025-12-19
TERMINAL_CMD,tpm on/off,CBAS,Enables/disables ticks-per-minute tracking,2025-12-19
DISCOVERY,CBAS uses AddOn not HTTP,IMPORTANT,CBAS_SuperTrendStrategy communicates via in-memory CBASTerminalBus to CBASTerminalWindow AddOn - no web server,2025-12-19
DATABASE,volatility.db,SQLITE,web/dashboard/volatility.db - 5580+ bar samples for volume/volatility analysis by hour,2025-12-19
DB_TABLE,bar_samples,VOLATILITY,Individual bar samples: timestamp bar_index symbol hour_of_day OHLC volume bar_range direction in_trade,2025-12-19
DB_TABLE,volatility_stats,VOLATILITY,Aggregated stats by hour: avg_bar_range avg_volume sample_count - computed from bar_samples,2025-12-19
DB_TABLE,stop_loss_recommendations,VOLATILITY,Hour-based stop loss recommendations in ticks with confidence level,2025-12-19
API_ENDPOINT,/api/volatility/record-bar,POST,BarsOnTheFlow POSTs bar data for volatility tracking - fire-and-forget,2025-12-19
API_ENDPOINT,/api/volatility/recommended-stop,GET,Returns recommended stop ticks for hour/volume - used by UseVolumeAwareStop,2025-12-19
API_ENDPOINT,/api/volatility/stats,GET,Returns all hourly volatility stats for visualization,2025-12-19
API_ENDPOINT,/api/volatility/update-aggregates,POST,Recalculates volatility_stats from bar_samples,2025-12-19
KEY_PARAMETER,UseVolumeAwareStop,BOTF,When True BarsOnTheFlow queries /api/volatility/recommended-stop for dynamic stops,2025-12-19
KEY_PARAMETER,UseDynamicStopLoss,BOTF,When True calculates stop from local candle range (not database),2025-12-19
KEY_FILE,setup_volatility_db.py,DASHBOARD,Creates volatility.db schema - bar_samples volatility_stats stop_loss_recommendations,2025-12-19
KEY_FILE,import_volatility_data.py,DASHBOARD,Imports historical bar data from CSV into bar_samples table,2025-12-19
KEY_FILE,check_volatility_db.py,DASHBOARD,Quick status check of volatility database - shows samples and hourly stats,2025-12-19
HOW_TO,Check volatility DB,COPILOT,python web/dashboard/check_volatility_db.py - shows bar counts and hourly stats,2025-12-19
HOW_TO,Query bar samples,COPILOT,SELECT * FROM bar_samples ORDER BY id DESC LIMIT 10 - in volatility.db,2025-12-19
HOW_TO,Check hourly volatility,COPILOT,SELECT hour_of_day avg_bar_range avg_volume FROM volatility_stats WHERE symbol='MNQ',2025-12-19
INSIGHT,Peak volatility hours,TRADING,Hour 17 (5pm ET): 37.99 avg range 10739 avg vol - highest volatility,2025-12-19
INSIGHT,Low volatility hours,TRADING,Hour 06-08: ~7.5 avg range ~420 avg vol - lowest volatility morning hours,2025-12-19
FEATURE,Strategy State JSON,CRITICAL,"Real-time JSON file updated by running strategies - shows ALL parameters and live position state",2025-12-19
FEATURE,State JSON Purpose,DEBUGGING,"Copilot/AI can READ this file directly to know strategy state without asking user - instant debugging context",2025-12-19
FEATURE,State JSON Location,PATH,strategy_state/<StrategyName>_state.json - e.g. strategy_state/BarsOnTheFlow_state.json,2025-12-19
FEATURE,State JSON Update Freq,TIMING,Updated every 10 bars by ExportStrategyState() method - near real-time,2025-12-19
HOW_TO,Check if strategy running,COPILOT,"Read strategy_state/<name>_state.json - if timestamp is recent and isRunning=true then active",2025-12-19
HOW_TO,Get ALL strategy params,COPILOT,Read entire JSON file - contains all input parameters and calculated values,2025-12-19
HOW_TO,Check current position,COPILOT,Look at positionMarketPosition and positionQuantity fields in state JSON,2025-12-19
HOW_TO,Debug entry issues,COPILOT,Check pendingLongFromBad/pendingShortFromGood flags in state JSON,2025-12-19
STATE_JSON_FIELD,isRunning,BOOL,True if strategy is actively processing bars - key indicator of activity,2025-12-19
STATE_JSON_FIELD,timestamp,DATETIME,When state was last written - if old strategy not running,2025-12-19
STATE_JSON_FIELD,calculatedStopTicks,NUMBER,Actual computed stop loss in ticks (when available),2025-12-19
STATE_JSON_FIELD,calculatedStopPoints,NUMBER,Actual computed stop loss in points (when available),2025-12-19
IMPORTANT,Strategy State Priority,COPILOT_FIRST,ALWAYS check strategy_state/*.json files FIRST when debugging strategy issues,2025-12-19
IMPORTANT,State JSON Advantages,BENEFITS,"No API calls needed - direct file read - works even if dashboard server down",2025-12-19
TODO,Add State JSON to CBAS,ENHANCEMENT,CBAS_SuperTrendStrategy should implement ExportStrategyState() like BarsOnTheFlow,2025-12-19
CURRENT_STATE,BarsOnTheFlow,RUNNING,"Last update 2025-12-19 17:40 - Long 1 contract - bar 3950",2025-12-19

